National Publishers Association
Paul Cauthen
Kanye West
Katy Perry
Jeffery Lamar Williams (Young Thug)
Jeffery Lamar Williams (Young Thug)
Aubery Drake Graham (Drake)
Miles Parks McCollum (Lil Yachty)
Karim Kharbouch (French Montana)
"Earth\, Wind & Fire IP LLC"
Bertelsmann Music Group
Triller
Black Sheep (band)
Jonathan Lyndale Kirk (DaBaby)
Rodrick Wayne Moore (Roddy Rich)
Ed Sheeran
Willie Maxwell (Fetty Wap)
Kanye West
Kanye West
Ed Sheeran
Tre Hargett (TN secretary of state)
Keenon Jackson (YG)
Kanye West
Brian Wilson
Dua Lipa
Russel Jones
Phoebe Bridgers
Daniel Morino
The Turtles (band)
Eminem
Mary J Bilge
Beastie Boys (band)
Poppy Montgomery
Jimmy Donaldson (Mr Beast)
Marques Houston
Andre Young (Dr Dre)
Wesley Snipes
Jacqueline Laurita
Taylor Swift
Paris Hilton
Emma Bunton
Fiona Harvey
Beastie Boys (band)
Josh Klinghoffer
Harry Shearer
Nate Diaz
Kevin Hart
Ollie Gordon II
Draya Michell
Boyd Tinsley
Charles Scaggs (2 Cold Scorpio)
Don Henley
Logan Paul
David Beckham
Rashee Rice
Todd Chrisley
Bill Kapri (Kodak Black)
Amanda Knox
Phaedra Parks
Rebel Wilson
"Patrick Mahomes Sr,"
Jonnathan Majors
Christi Lukasiak
Priscilla Presley
Sofia Vergara
Leah McSweeney
Charles Hill
Bre Tiesi
Kathryn Dennis
Faith Stowers
Kelly Clarkson
Arianne Zucker
Axl Rose
